"IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","CAT","HEALTHCARE_RATIO","PRODUCTIVITY_RATIO","DISUTILITY_RATIO","PRODUCTIVITY_DISUTILITY_RATIO","REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"SLOV","Slovenia","SVN","Slovenia"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"SPAI","Spain","ESP","Spain"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"SWED","Sweden","SWE","Sweden"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"SWIT","Switzerland","CHE","Switzerland"
2025,"EUR","EU, EFTA, UK","MORT",NA,NA,NA,NA,"UNKI","United Kingdom","GBR","United Kingdom"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"ARGE","Argentina","ARG","Argentina"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"BOLV","Bolivia (Plurinational State of)","BOL","Bolivia (Plurinational State of)"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"BRAZ","Brazil","BRA","Brazil"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","ABW","Aruba"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","BHS","Bahamas"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","BRB","Barbados"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","CUB","Cuba"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","DOM","Dominican Republic"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","GLP","Guadeloupe"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","GRD","Grenada"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","GUF","French Guiana"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","GUY","Guyana"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","HTI","Haiti"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","JAM","Jamaica"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","LCA","Saint Lucia"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","MTQ","Martinique"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","PRI","Puerto Rico"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","SUR","Suriname"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","TTO","Trinidad and Tobago"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","VCT","Saint Vincent and the Grenadines"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CARB","Caribbean","VIR","United States Virgin Islands"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","BLZ","Belize"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","CRI","Costa Rica"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","GTM","Guatemala"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","HND","Honduras"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","NIC","Nicaragua"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","PAN","Panama"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CEAM","Central America","SLV","El Salvador"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"CHIL","Chile","CHL","Chile"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"COLO","Colombia","COL","Colombia"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"ECUA","Ecuador","ECU","Ecuador"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"MEXI","Mexico","MEX","Mexico"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"PARA","Paraguay","PRY","Paraguay"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"PERU","Peru","PER","Peru"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"URUG","Uruguay","URY","Uruguay"
2025,"LAC","Latin America & Caribbean","MORB",NA,NA,NA,NA,"VENE","Venezuela (Bolivarian Republic of)","VEN","Venezuela (Bolivarian Republic of)"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"ARGE","Argentina","ARG","Argentina"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"BOLV","Bolivia (Plurinational State of)","BOL","Bolivia (Plurinational State of)"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"BRAZ","Brazil","BRA","Brazil"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","ABW","Aruba"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","BHS","Bahamas"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","BRB","Barbados"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","CUB","Cuba"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","DOM","Dominican Republic"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","GLP","Guadeloupe"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","GRD","Grenada"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","GUF","French Guiana"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","GUY","Guyana"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","HTI","Haiti"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","JAM","Jamaica"
2025,"LAC","Latin America & Caribbean","MORT",NA,NA,NA,NA,"CARB","Caribbean","LCA","Saint Lucia"
