SCEN_LABEL_H,SCEN_LABEL_L,IDYEARS,REGIONGROUP,LABEL_REGIONGROUP,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORB,DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORT,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORB,DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORT,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORB,DELTA_COST_DISUTILITY_MUSD2017_PPP_MORT
Baseline,Integrated Action,2060,SAF,Southern Africa,20214.6,0,20035.6,39267.6,39836,374031.2
Baseline,Integrated Action,2060,SAS,South Asia,128594.5,0,247476.8,437912.7,477765,3325974.5
Baseline,Integrated Action,2060,SSA,Sub-Saharan Africa,9402.1,0,25869.1,170405.8,33338.8,461720.6
Baseline,Integrated Action,2060,WAS,Western Asia,12977.7,0,21766.1,1022.4,40288,112767.3
Baseline,Integrated Action,2060,WBK,West Balkan,1444.4,0,1138,133.8,2241.3,6306.1
Baseline,Integrated Action,2060,NA,Global,837575.2,0,1096052.6,703851.8,2022931.4,9053713.1
Baseline,Integrated Action,2070,CAS,Central Asia,2609.4,0,3293.7,1519.3,6809.5,23306
Baseline,Integrated Action,2070,CHI,Centrally Planned Asia,348622.9,0,499108,784.9,899523.2,2753494.2
Baseline,Integrated Action,2070,EAS,South East Asia,70298.5,0,127756.6,17153.5,240802,857973.1
Baseline,Integrated Action,2070,EUR,"EU, EFTA, UK",57312.7,0,41877.7,1998.8,73938.6,189946.4
Baseline,Integrated Action,2070,LAC,Latin America & Caribbean,98192.2,0,92318.1,7388.9,145818.8,428207.2
Baseline,Integrated Action,2070,MEA,Middle East,41183.5,0,55733,2795.7,118594.8,368464.2
Baseline,Integrated Action,2070,NAF,North Africa,40862.5,0,62296.4,9396.9,129049,436842.1
Baseline,Integrated Action,2070,NAM,North America,119696.9,0,64659.4,4792.7,98677.1,227995.6
Baseline,Integrated Action,2070,OCE,Oceania,65559.1,0,58141.6,1392.7,101484.8,290933.7
Baseline,Integrated Action,2070,RUS,Russian Federation,9137.2,0,8798.7,1794.9,20787.4,69248.6
Baseline,Integrated Action,2070,SAF,Southern Africa,3851.1,0,7776,68448.5,11032.1,796458.6
Baseline,Integrated Action,2070,SAS,South Asia,196643,0,380842.9,432601.7,713763.7,4567789.4
Baseline,Integrated Action,2070,SSA,Sub-Saharan Africa,14236.2,0,35794.3,203312.9,49309.2,703607.3
Baseline,Integrated Action,2070,WAS,Western Asia,17573.1,0,29977.8,881.5,54682.4,144182
Baseline,Integrated Action,2070,WBK,West Balkan,1913.1,0,1514.8,120,2988.7,7362.6
Baseline,Integrated Action,2070,NA,Global,1087691.4,0,1469889,754382.9,2667261.3,11865811
Baseline,Integrated Action,2080,CAS,Central Asia,4244.3,0,5261.2,1564.9,10843.6,33645.5
Baseline,Integrated Action,2080,CHI,Centrally Planned Asia,382915.3,0,550746.9,760.3,980188.4,2814032.3
Baseline,Integrated Action,2080,EAS,South East Asia,93859.9,0,170833.3,15405.8,317045.1,1049700.5
Baseline,Integrated Action,2080,EUR,"EU, EFTA, UK",66649.3,0,48382.2,1185.8,84916.9,190937.1
Baseline,Integrated Action,2080,LAC,Latin America & Caribbean,163972.3,0,151653,6299.4,235176.1,627930.3
Baseline,Integrated Action,2080,MEA,Middle East,47697.3,0,65207.2,2073,137212.2,394064.3
Baseline,Integrated Action,2080,NAF,North Africa,55113.8,0,85064.1,7620.8,173876.4,544394
Baseline,Integrated Action,2080,NAM,North America,148817.5,0,80470,3446.3,121385.2,264803.6
Baseline,Integrated Action,2080,OCE,Oceania,67502.3,0,60061.2,794,103819.2,267019.1
Baseline,Integrated Action,2080,RUS,Russian Federation,12317.1,0,11864.4,1717.3,28111.8,85981.7
Baseline,Integrated Action,2080,SAF,Southern Africa,6784.5,0,12652.2,80363.5,19014.1,1158697.8
Baseline,Integrated Action,2080,SAS,South Asia,269959.2,0,508843.2,436980.7,917351.5,6195457.8
Baseline,Integrated Action,2080,SSA,Sub-Saharan Africa,19085.5,0,44623.5,117994.2,64934.3,580540.2
Baseline,Integrated Action,2080,WAS,Western Asia,23484.2,0,40150.9,741.9,72290.4,176085.8
Baseline,Integrated Action,2080,WBK,West Balkan,2262.6,0,1801.5,89.3,3561.9,7773
Baseline,Integrated Action,2080,NA,Global,1364665.1,0,1837614.8,677037.2,3269727.1,14391063
Baseline,Integrated Action,2090,CAS,Central Asia,6316.7,0,7640.7,1362.3,15587.2,43321.7
