"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Delayed Action",2025,"ARGE",46046200,1025.84,43231,357567.618,5.377,2.71,0.306,NA,NA
"Delayed Action",2025,"ARME",2762000,52.434,43231,357567.618,18.548,11.071,0.452,NA,NA
"Delayed Action",2025,"AUST",9044800,514.16,43231,357567.618,7.803,3.19,2.305,NA,NA
"Delayed Action",2025,"AUTR",26566300,1443.22,43231,357567.618,3.95,2.138,0,NA,NA
"Delayed Action",2025,"AZER",10492200,164.983,43231,357567.618,18.335,4.562,1.208,NA,NA
"Delayed Action",2025,"BANG",175528000,1371.5,43231,357567.618,60.087,35.082,1.459,NA,NA
"Delayed Action",2025,"BELA",9393600,184.177,43231,357567.618,8.245,3.701,1.406,NA,NA
"Delayed Action",2025,"BELG",11693100,648.597,43231,357567.618,9.194,3.271,2.554,NA,NA
"Delayed Action",2025,"BHUT",797700,9.655,43231,357567.618,5.168,1.551,0.081,NA,NA
"Delayed Action",2025,"BOHE",3180800,58.941,43231,357567.618,20.6,15.447,7.53,NA,NA
"Delayed Action",2025,"BOLV",12619900,106.494,43231,357567.618,7.237,2.461,0.004,NA,NA
"Delayed Action",2025,"BRAZ",217562000,3480.58,43231,357567.618,9.129,6.078,1.32,NA,NA
"Delayed Action",2025,"BRUN",461300,27.824,43231,357567.618,3.819,2.106,0.004,NA,NA
"Delayed Action",2025,"BULG",6678000,187.916,43231,357567.618,12.135,6.493,2.081,NA,NA
"Delayed Action",2025,"CAMB",17300400,90.688,43231,357567.618,10.069,4.308,0.167,NA,NA
"Delayed Action",2025,"CANA",38643500,1981.43,43231,357567.618,8.35,5.226,0.199,NA,NA
"Delayed Action",2025,"CARB",46078200,642.109,43231,357567.618,6.759,3.56,0.138,NA,NA
"Delayed Action",2025,"CEAM",53169900,650.978,43231,357567.618,9.17,6.639,0.022,NA,NA
"Delayed Action",2025,"CHIL",19581000,527.728,43231,357567.618,13.144,12.981,0.14,NA,NA
"Delayed Action",2025,"CHIN",1433906500,29954.564,43231,357567.618,24.056,20.669,18.578,NA,NA
"Delayed Action",2025,"COLO",52418800,856.133,43231,357567.618,8.327,6.329,0.025,NA,NA
"Delayed Action",2025,"CROA",3980400,141.742,43231,357567.618,12.111,5.259,2.172,NA,NA
"Delayed Action",2025,"CYPR",1284600,42.901,43231,357567.618,10.537,0.911,0.003,NA,NA
"Delayed Action",2025,"CZRE",10850700,452.933,43231,357567.618,10.713,5.5,3.998,NA,NA
"Delayed Action",2025,"DENM",5903400,367.936,43231,357567.618,5.911,1.653,0.576,NA,NA
"Delayed Action",2025,"EAFR",317184800,785.992,43231,357567.618,26.039,7.496,0.634,NA,NA
"Delayed Action",2025,"ECUA",18413700,205.776,43231,357567.618,5.3,3.196,0.007,NA,NA
