"REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY","isomatch"
"WAFR","Western Africa (excl Nigeria)","CIV","Cote d'Ivoire",TRUE
"WAFR","Western Africa (excl Nigeria)","CMR","Cameroon",TRUE
"WAFR","Western Africa (excl Nigeria)","COD","Democratic Republic of the Congo",TRUE
"WAFR","Western Africa (excl Nigeria)","COG","Congo",TRUE
"WAFR","Western Africa (excl Nigeria)","CPV","Cape Verde",TRUE
"WAFR","Western Africa (excl Nigeria)","GAB","Gabon",TRUE
"WAFR","Western Africa (excl Nigeria)","GHA","Ghana",TRUE
"WAFR","Western Africa (excl Nigeria)","GIN","Guinea",TRUE
"WAFR","Western Africa (excl Nigeria)","GMB","Gambia",TRUE
"WAFR","Western Africa (excl Nigeria)","GNB","Guinea-Bissau",TRUE
"WAFR","Western Africa (excl Nigeria)","GNQ","Equatorial Guinea",TRUE
"WAFR","Western Africa (excl Nigeria)","LBR","Liberia",TRUE
"WAFR","Western Africa (excl Nigeria)","MLI","Mali",TRUE
"WAFR","Western Africa (excl Nigeria)","MRT","Mauritania",TRUE
"WAFR","Western Africa (excl Nigeria)","NER","Niger",TRUE
"WAFR","Western Africa (excl Nigeria)","SEN","Senegal",TRUE
"WAFR","Western Africa (excl Nigeria)","SLE","Sierra Leone",TRUE
"WAFR","Western Africa (excl Nigeria)","TCD","Chad",TRUE
"WAFR","Western Africa (excl Nigeria)","TGO","Togo",TRUE
"CARB","Caribbean","SIS-NAmer","Small Islands - North America",FALSE
