"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Baseline",2025,"SLOV","SLOV",6.361,0.945,543,366
"Baseline",2025,"SPAI","SPAI",4.521,1.132,7716,10542
"Baseline",2025,"SRIL","SRIL",8.238,0.013,157,201
"Baseline",2025,"SWED","SWED",1.031,0.447,1323,1159
"Baseline",2025,"SWIT","SWIT",3.506,0.549,1364,967
"Baseline",2025,"TAIW","TAIW",16.356,0.048,3165,10332
"Baseline",2025,"TAJI","TAJI",9.086,0.986,54,53
"Baseline",2025,"TANZ","TANZ",6.148,0.456,316,784
"Baseline",2025,"THAI","THAI",7.44,1.475,4950,5413
"Baseline",2025,"TKME","TKME",4.518,0.434,28,-291
"Baseline",2025,"TURK","TURK",13.156,7.365,7458,8143
"Baseline",2025,"UKRA","UKRA",4.802,7.142,2147,2078
"Baseline",2025,"UNKI","UNKI",3.332,4.013,8223,13318
"Baseline",2025,"URUG","URUG",3.017,0.185,111,155
"Baseline",2025,"USAM","USAM",5.01,1.671,82449,83463
"Baseline",2025,"UZBE","UZBE",7.611,4.559,407,142
"Baseline",2025,"VENE","VENE",5.465,0.147,981,865
"Baseline",2025,"VIET","VIET",13.726,3.225,4518,4977
"Baseline",2025,"WAFR","WAFR",7.505,0.352,1126,3882
"Delayed Action",2025,"AFGH","AFGH",27.589,1.361,NA,NA
"Delayed Action",2025,"ALBA","ALBA",9.973,0.492,NA,NA
"Delayed Action",2025,"ARGE","ARGE",2.71,0.306,NA,NA
"Delayed Action",2025,"ARME","ARME",11.071,0.452,NA,NA
"Delayed Action",2025,"AUST","AUST",3.19,2.305,NA,NA
"Delayed Action",2025,"AUTR","AUTR",2.138,0,NA,NA
"Delayed Action",2025,"AZER","AZER",4.562,1.208,NA,NA
"Delayed Action",2025,"BANG","BANG",35.082,1.459,NA,NA
"Delayed Action",2025,"BELA","BELA",3.701,1.406,NA,NA
"Delayed Action",2025,"BELG","BELG",3.271,2.554,NA,NA
"Delayed Action",2025,"BHUT","BHUT",1.551,0.081,NA,NA
"Delayed Action",2025,"BOHE","BOHE",15.447,7.53,NA,NA
"Delayed Action",2025,"BOLV","BOLV",2.461,0.004,NA,NA
"Delayed Action",2025,"BRAZ","BRAZ",6.078,1.32,NA,NA
"Delayed Action",2025,"BRUN","BRUN",2.106,0.004,NA,NA
"Delayed Action",2025,"BULG","BULG",6.493,2.081,NA,NA
"Delayed Action",2025,"CAMB","CAMB",4.308,0.167,NA,NA
"Delayed Action",2025,"CANA","CANA",5.226,0.199,NA,NA
"Delayed Action",2025,"CARB","CARB",3.56,0.138,NA,NA
"Delayed Action",2025,"CEAM","CEAM",6.639,0.022,NA,NA
"Delayed Action",2025,"CHIL","CHIL",12.981,0.14,NA,NA
"Delayed Action",2025,"CHIN","CHIN",20.669,18.578,NA,NA
