area (ISO3),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SMR,0.66522405,0.63046826,0.65079739,0.63529606,0.60419748,0.58878485,0.57054863,0.59871704,0.58094665,0.57145065,0.54845307
SOM,826.40631,837.99176,849.17003,853.18723,859.58496,863.84592,870.44461,874.47914,881.48765,895.67539,907.59138
SRB,278.56608,279.84725,274.89461,272.58013,268.33662,272.19287,268.54994,266.83843,260.62259,263.52091,271.94037
SSD,1112.2238,1161.1151,1200.6879,1193.1672,1215.5305,1204.262,1230.435,1181.1613,1314.5143,1144.2875,1330.832
STP,2.1871196,2.232294,2.2577878,2.3215201,2.3882962,2.4602693,2.5234883,2.5805364,2.6247556,2.6854589,2.7480479
SUR,34.464029,35.664061,34.531301,35.495332,36.65609,35.987298,36.419751,35.695752,34.679724,36.430468,35.534792
SVK,218.46584,217.44113,204.82329,201.91617,190.78185,194.68512,197.77755,199.51991,193.45578,194.14388,196.00403
SVN,122.94019,120.23941,117.05911,112.638,102.60386,106.07058,104.45334,105.98243,103.32786,103.53512,102.90441
SWE,486.99523,486.52144,484.02667,468.31817,455.87036,449.82615,452.47554,459.61644,455.78815,452.80871,457.33721
SWZ,48.17491,44.023238,44.533884,46.557977,46.318039,45.611931,45.139013,43.770971,44.225781,46.071103,44.642961
SYC,2.1764832,2.2042235,2.2449783,2.2825122,2.3392696,2.3897804,2.4482049,2.4876228,2.5041311,2.5530273,2.5931521
SYR,784.59091,758.48788,589.71708,488.49545,459.93532,438.11469,424.19421,404.03884,347.61508,344.56147,344.97484
TCA,0.46611439,0.50447147,0.51873108,0.53314038,0.48793819,0.49843936,0.45376437,0.43994208,0.44392106,0.42339584,0.40223096
TCD,1360.9526,1427.6481,1512.55,1560.414,1628.6721,1761.6429,1883.6301,1943.6513,2058.4608,2141.6122,2272.593
TGO,158.61789,171.37928,171.81097,180.78581,176.42826,188.50445,189.88716,193.59043,199.74176,207.1994,221.57812
THA,4408.9185,4301.7616,4422.0571,4380.1838,4243.0158,4022.4041,4081.3567,4030.3969,3877.2804,3820.2677,3826.7859
TJK,196.74391,203.31973,216.7538,225.26464,235.18937,246.59288,255.17881,264.40834,268.36755,274.28527,279.7555
TKL,0.020198195,0.020240613,0.020325585,0.020410848,0.020539375,0.020664801,0.02079488,0.022687766,0.026785316,0.033194651,0.042313799
TKM,1138.5052,1416.8031,1502.6676,1644.4862,1675.9527,1731.5582,1657.4289,1623.1241,1658.4971,1684.7352,1640.8306
TLS,115.68738,125.24796,129.01184,121.45979,92.768548,95.08118,82.597978,76.728919,78.132054,74.730534,65.190846
TON,3.3014376,3.3061552,3.340985,3.3512395,3.3725481,3.3981511,3.4219849,3.4446226,3.4619882,3.480291,3.4977565
TTO,716.19247,687.4049,683.06501,685.86547,681.4367,648.2986,576.87902,582.49896,612.31027,616.61966,542.32724
TUN,392.94224,378.81478,375.99946,372.35257,364.56785,358.07989,351.23753,342.94113,343.6312,338.62844,338.09637
TUR,2512.2161,2602.502,2795.3732,2929.7962,3070.3376,3148.109,3242.6041,3366.0495,3622.2277,3705.5683,3827.959
TUV,0.29065296,0.29263911,0.29462986,0.29649569,0.29900354,0.3015265,0.30333326,0.3050017,0.30746159,0.30916714,0.31125446
TWN,582.09612,573.7809,581.91696,596.74116,604.68853,604.99306,612.96583,610.60747,618.80537,621.22952,611.93643
TZA,1960.8458,2001.1651,2055.6451,2082.5398,2124.4733,2264.0952,2258.659,2277.5953,2255.5442,2340.0606,2354.3873
UGA,1037.1618,1043.6889,1082.2131,1106.7647,1138.9403,1174.4653,1124.1052,1126.3054,1163.855,1217.0911,1255.6321
UKR,2266.4886,2426.0322,2425.4127,2485.848,2308.3566,1968.5047,2065.0222,1889.4064,1917.1411,1938.6122,1986.2621
URY,883.88029,891.32034,872.56219,882.56459,937.95066,969.52131,986.02023,974.82195,951.77544,949.43679,945.01537
USA,24671.777,24886.723,24275.116,24200.762,24341.081,23978.286,23326.041,23813.509,24493.688,24904.736,23884.29
UZB,2102.4139,2149.9286,2253.3958,2220.6493,2159.1346,2172.0588,2239.811,2295.472,2474.6107,2498.8162,2344.8799
VAT,0.01811299,0.01676032,0.01668982,0.016111872,0.015295515,0.014840383,0.014335638,0.014513216,0.014155868,0.013769904,0.013292065
VCT,2.0019224,2.0735118,2.0610825,2.0226835,2.0283353,2.0218207,2.0228846,2.0214876,2.0350982,2.0345784,2.0453366
VEN,2527.703,2522.0737,2686.2336,2690.5062,2669.8425,2612.9065,2538.5582,2405.8964,2224.6842,2069.9924,1931.2043
VGB,0.22540353,0.24676131,0.2477065,0.25540129,0.26443345,0.2656832,0.26987973,0.27397513,0.27788774,0.28004182,0.28086213
VNM,3816.6435,3846.9503,3836.1229,3877.3562,3894.7406,3782.7478,3765.2354,3736.1201,3800.484,3812.0054,3733.7748
VUT,15.813937,16.218929,16.43107,16.621807,16.880032,15.519665,13.029985,12.312595,13.520913,12.655099,12.393814
WSM,7.005961,7.3870102,7.4189095,7.5524297,7.5791063,7.9925169,7.3567517,6.9537904,6.5222804,5.7278513,6.1829748
YEM,837.54463,799.96934,722.77549,797.73289,761.03671,501.5795,449.6562,498.36597,526.17062,554.13999,540.87642
ZAF,3216.3603,3208.2653,3312.5843,3311.7664,3336.1233,3299.9916,3245.2717,3291.8149,3258.8927,3238.432,3169.5492
ZMB,1116.1112,1097.8719,1155.1925,1150.2133,1139.5657,1241.7344,1215.4764,1206.5475,1178.3114,1199.5837,1115.7692
ZWE,486.36821,497.40019,491.46552,483.05211,455.34125,485.1284,448.96804,461.12336,473.17126,459.4398,445.44895
