Entity,Code,Year,10.4.1 - Labour share of GDP (%) - SL_EMP_GTOTL
Gambia,GMB,2020,48.8
Georgia,GEO,2020,53.9
Germany,DEU,2020,63.4
Ghana,GHA,2020,42.4
Greece,GRC,2020,59.6
Guatemala,GTM,2020,46.2
Guinea,GIN,2020,30.1
Guinea-Bissau,GNB,2020,43.5
Guyana,GUY,2020,49.9
Haiti,HTI,2020,47.8
Honduras,HND,2020,60.1
Hungary,HUN,2020,48.2
Iceland,ISL,2020,66.3
India,IND,2020,57.8
Indonesia,IDN,2020,58.3
Iran,IRN,2020,39.8
Iraq,IRQ,2020,45.3
Ireland,IRL,2020,32.7
Israel,ISR,2020,52.5
Italy,ITA,2020,56.5
Jamaica,JAM,2020,55.8
Japan,JPN,2020,56.8
Jordan,JOR,2020,45
Kazakhstan,KAZ,2020,40.4
Kenya,KEN,2020,37.3
Kuwait,KWT,2020,40.3
Kyrgyzstan,KGZ,2020,33.3
Laos,LAO,2020,44.7
Latvia,LVA,2020,60.9
Lebanon,LBN,2020,46.3
Lesotho,LSO,2020,61.4
Liberia,LBR,2020,43
Libya,LBY,2020,45.2
Lithuania,LTU,2020,55.1
Luxembourg,LUX,2020,56.2
Madagascar,MDG,2020,40.5
Malawi,MWI,2020,42.4
Malaysia,MYS,2020,44.8
Maldives,MDV,2020,45.7
Mali,MLI,2020,37.3
Malta,MLT,2020,54.7
Mauritania,MRT,2020,39.3
Mauritius,MUS,2020,40.3
Mexico,MEX,2020,35.2
Moldova,MDA,2020,60
Mongolia,MNG,2020,37.2
Montenegro,MNE,2020,49.4
Morocco,MAR,2020,44.8
Mozambique,MOZ,2020,51.9
Myanmar,MMR,2020,46.5
Namibia,NAM,2020,54.5
Nepal,NPL,2020,43.5
Netherlands,NLD,2020,63.6
New Caledonia,NCL,2020,55.9
New Zealand,NZL,2020,54.2
Nicaragua,NIC,2020,48.4
Niger,NER,2020,30.8
Nigeria,NGA,2020,68.2
North Korea,PRK,2020,42.3
North Macedonia,MKD,2020,45.7
Norway,NOR,2020,54.8
Oman,OMN,2020,42.4
Pakistan,PAK,2020,49.1
Palestine,PSE,2020,45
Panama,PAN,2020,34.5
Papua New Guinea,PNG,2020,34.1
Paraguay,PRY,2020,46
Peru,PER,2020,45.2
Philippines,PHL,2020,39
Poland,POL,2020,48.5
Portugal,PRT,2020,59.5
Puerto Rico,PRI,2020,55.5
Qatar,QAT,2020,30.2
Romania,ROU,2020,47.2
Russia,RUS,2020,54.3
Rwanda,RWA,2020,44.2
Saint Lucia,LCA,2020,51.7
Saint Vincent and the Grenadines,VCT,2020,51.8
Samoa,WSM,2020,46.3
Sao Tome and Principe,STP,2020,44.5
Saudi Arabia,SAU,2020,32.1
Senegal,SEN,2020,41.9
Serbia,SRB,2020,56.3
Sierra Leone,SLE,2020,44.4
Singapore,SGP,2020,50.3
Slovakia,SVK,2020,54.2
Slovenia,SVN,2020,61
Solomon Islands,SLB,2020,44.6
Somalia,SOM,2020,43
South Africa,ZAF,2020,60.7
South Korea,KOR,2020,59.7
South Sudan,SSD,2020,42.5
Spain,ESP,2020,60.9
Sri Lanka,LKA,2020,40.2
Sudan,SDN,2020,44.1
Suriname,SUR,2020,50.4
Sweden,SWE,2020,55.8
Switzerland,CHE,2020,68.4
Syria,SYR,2020,40.9
Tajikistan,TJK,2020,19.3
Tanzania,TZA,2020,53.3
Thailand,THA,2020,47.4
Togo,TGO,2020,38.9
Tonga,TON,2020,45.5
Trinidad and Tobago,TTO,2020,46
Tunisia,TUN,2020,50.8
Turkey,TUR,2020,35.7
Turkmenistan,TKM,2020,46.9
Uganda,UGA,2020,40.5
Ukraine,UKR,2020,51.3
United Arab Emirates,ARE,2020,39.8
United Kingdom,GBR,2020,60.4
United States,USA,2020,60.4
Uruguay,URY,2020,58.2
Uzbekistan,UZB,2020,45.6
Vanuatu,VUT,2020,63.8
Venezuela,VEN,2020,10.2
Vietnam,VNM,2020,42.7
Western Sahara,ESH,2020,43.6
Yemen,YEM,2020,39.5
Zambia,ZMB,2020,33.1
Zimbabwe,ZWE,2020,53.2
