"IDSCENARIOS","IDYEARS","REGION_4LETTER","REGION_4LETTER_LABEL","PM25_ANTHROP","PM25_SELF","PM25_EXPORT"
"Baseline",2025,"EAFR","Eastern Africa (excl Kenya, Tanzania)",7.08,6.142,0.533
"Baseline",2025,"ECUA","Ecuador",3.3,3.16,0.008
"Baseline",2025,"EGYP","Egypt",14.94,12.995,1.657
"Baseline",2025,"ESTO","Estonia",4.37,1.711,0.087
"Baseline",2025,"FINL","Finland",3.16,1.301,0.251
"Baseline",2025,"FRAN","France",7.21,4.736,8.277
"Baseline",2025,"GEOR","Georgia",6.77,3.877,0.385
"Baseline",2025,"GERM","Germany",6.92,3.668,13.48
"Baseline",2025,"GREE","Greece",9.32,4.339,1.007
"Baseline",2025,"HUNG","Hungary",11.72,5.444,3.67
"Baseline",2025,"ICEL","Iceland",2.88,2.022,0.025
"Baseline",2025,"INDI","India",39.97,34.318,46.575
"Baseline",2025,"INDO","Indonesia",37.14,36.878,4.388
"Baseline",2025,"IRAN","Iran",24.31,23.077,2.346
"Baseline",2025,"IREL","Ireland",3.02,1.336,0.277
"Baseline",2025,"ISRA","Israel",16.38,13.284,1.395
"Baseline",2025,"ITAL","Italy",11.43,8.345,5.234
"Baseline",2025,"JAPA","Japan",6.85,5.608,0.041
"Baseline",2025,"KENY","Kenya",7.08,6.524,0.295
"Baseline",2025,"KORS","Republic of Korea",22.77,13.99,1.02
"Baseline",2025,"KOSO","Kosovo",28.77,22.173,3.302
"Baseline",2025,"LAOS","Laos",5.64,2.134,0.385
"Baseline",2025,"LATV","Latvia",7.13,3.783,0.272
"Baseline",2025,"LITH","Lithuania",6.6,2.449,0.585
"Baseline",2025,"LUXE","Luxembourg",6.6,1.087,0.087
"Baseline",2025,"MACE","TFYR Macedonia",14.72,8.996,1.121
"Baseline",2025,"MALA","Malaysia",24.33,23.113,7.456
"Baseline",2025,"MALT","Malta",7.72,1.274,0
"Baseline",2025,"MEXI","Mexico",9.88,9.608,0.056
"Baseline",2025,"MIDE","Middle East",11.34,9.098,5.315
"Baseline",2025,"MOLD","Republic of Moldova",11.24,5.23,0.357
"Baseline",2025,"MONG","Mongolia",20.15,19.834,0.143
"Baseline",2025,"MONT","Montenegro",15.8,10.821,0.486
"Baseline",2025,"MYAN","Myanmar",8.3,5.414,0.293
"Baseline",2025,"NAFR","Northern Africa (excl Egypt)",11.34,10.762,0.482
"Baseline",2025,"NEPA","Nepal",37.56,21.377,1.743
"Baseline",2025,"NETH","Netherlands",8.32,2.729,2.149
"Baseline",2025,"NIGE","Nigeria",17.01,16.648,1.02
"Baseline",2025,"NORW","Norway",2.6,1.157,0.244
"Baseline",2025,"NZEL","New Zealand",1.41,1.357,0
"Baseline",2025,"PAKI","Pakistan",47.96,42.202,6.571
"Baseline",2025,"PARA","Paraguay",4.13,3.164,0.022
"Baseline",2025,"PERU","Peru",9.38,9.123,0.167
"Baseline",2025,"PHIL","Philippines",9.41,9.331,0.528
"Baseline",2025,"POLA","Poland",12.16,8.454,12.31
"Baseline",2025,"PORT","Portugal",6.35,4.152,0.114
"Baseline",2025,"ROMA","Romania",13.21,8.708,5.198
"Baseline",2025,"RSAF","Remaining Southern Africa",4.91,4.49,0.683
"Baseline",2025,"RUSS","Russian Federation",8.25,6.365,7.624
"Baseline",2025,"SAAR","Saudi Arabia",8.13,4.847,1.634
"Baseline",2025,"SAFR","South Africa",7.73,7.208,0.414
"Baseline",2025,"SERB","Serbia",16.67,10.943,11.79
"Baseline",2025,"SING","Singapore",11.5,2.379,0.41
"Baseline",2025,"SKRE","Slovakia",8.8,2.675,1.573
"Baseline",2025,"SLOV","Slovenia",12.36,6.827,0.979
"Baseline",2025,"SPAI","Spain",6.52,4.263,1.155
"Baseline",2025,"SRIL","Sri Lanka",7.55,6.877,0.006
"Baseline",2025,"SWED","Sweden",3.5,1.105,0.467
"Baseline",2025,"SWIT","Switzerland",7.39,4.061,0.65
"Baseline",2025,"TAIW","Taiwan",14.77,12.93,0.063
"Baseline",2025,"TANZ","United Republic of Tanzania",5.61,5.225,0.424
"Baseline",2025,"THAI","Thailand",10.48,8.993,2.877
"Baseline",2025,"TURK","Turkey",15.98,12.887,6.625
"Baseline",2025,"UKRA","Ukraine",8.07,4.171,6.796
"Baseline",2025,"UNKI","United Kingdom",5.34,3.401,4.085
"Baseline",2025,"URUG","Uruguay",3.36,2.869,0.195
"Baseline",2025,"USAM","United States of America",5.46,5.151,1.767
"Baseline",2025,"VENE","Venezuela (Bolivarian Republic of)",6.06,5.838,0.176
"Baseline",2025,"VIET","Vietnam",20.48,17.308,3.438
"Baseline",2025,"WAFR","Western Africa (excl Nigeria)",7.03,6.266,0.309
"Baseline",2030,"AFGH","Afghanistan",54.19,53.35,2.246
"Baseline",2030,"ALBA","Albania",12.37,8.29,0.841
"Baseline",2030,"ARGE","Argentina",3.22,2.753,0.37
"Baseline",2030,"ARME","Armenia",9.81,6.023,0.469
"Baseline",2030,"AUST","Austria",6.05,2.39,1.821
"Baseline",2030,"AUTR","Australia",2.25,2.168,0.052
"Baseline",2030,"AZER","Azerbaijan",7.43,3.93,1.313
"Baseline",2030,"BANG","Bangladesh",53.26,33.5,1.7
"Baseline",2030,"BELA","Belarus",7.73,3.944,1.508
"Baseline",2030,"BELG","Belgium",7.29,2.785,2.262
"Baseline",2030,"BHUT","Bhutan",11.85,6.062,0.554
"Baseline",2030,"BOHE","Bosnia and Herzegovina",15.38,11.68,4.782
"Baseline",2030,"BOLV","Bolivia (Plurinational State of)",2.82,2.704,0.004
"Baseline",2030,"BRAZ","Brazil",5.76,5.693,1.299
"Baseline",2030,"BRUN","Brunei Darussalam",5.31,3.174,0.11
"Baseline",2030,"BULG","Bulgaria",8.65,4.485,1.382
"Baseline",2030,"CAMB","Cambodia",7.94,5.126,0.263
"Baseline",2030,"CANA","Canada",6.4,4.831,0.204
"Baseline",2030,"CARB","Caribbean",4.01,3.852,0.192
"Baseline",2030,"CEAM","Central America",7.1,7.001,0.024
"Baseline",2030,"CHIL","Chile",16.07,15.962,0.17
"Baseline",2030,"CHIN","China",24.34,23.47,16.361
"Baseline",2030,"COLO","Colombia",6.39,6.143,0.029
"Baseline",2030,"CROA","Croatia",8.7,3.446,1.611
"Baseline",2030,"CYPR","Cyprus",6.74,0.651,0.003
"Baseline",2030,"CZRE","Czech Republic",8.99,4.951,3.459
"Baseline",2030,"DENM","Denmark",4.66,1.604,0.567
"Baseline",2030,"EAFR","Eastern Africa (excl Kenya, Tanzania)",7.48,6.581,0.54
"Baseline",2030,"ECUA","Ecuador",3.33,3.182,0.008
"Baseline",2030,"EGYP","Egypt",15.88,14.029,1.75
"Baseline",2030,"ESTO","Estonia",3.78,1.291,0.067
"Baseline",2030,"FINL","Finland",3,1.224,0.214
"Baseline",2030,"FRAN","France",6.03,3.845,6.873
"Baseline",2030,"GEOR","Georgia",6.57,3.695,0.356
"Baseline",2030,"GERM","Germany",5.82,3.041,10.767
"Baseline",2030,"GREE","Greece",7.96,3.575,0.81
"Baseline",2030,"HUNG","Hungary",10.36,5.241,3.344
"Baseline",2030,"ICEL","Iceland",2.92,2.055,0.026
"Baseline",2030,"INDI","India",35.38,29.627,39.301
"Baseline",2030,"INDO","Indonesia",41.18,40.922,4.85
"Baseline",2030,"IRAN","Iran",25.56,24.5,2.351
"Baseline",2030,"IREL","Ireland",2.58,1.058,0.23
"Baseline",2030,"ISRA","Israel",15.57,12.579,1.22
"Baseline",2030,"ITAL","Italy",8.88,6.003,4.12
"Baseline",2030,"JAPA","Japan",6.47,5.295,0.037
"Baseline",2030,"KENY","Kenya",7.67,7.116,0.309
"Baseline",2030,"KORS","Republic of Korea",21.76,13.433,0.97
"Baseline",2030,"KOSO","Kosovo",23.82,19.222,2.063
"Baseline",2030,"LAOS","Laos",6.13,2.641,0.521
"Baseline",2030,"LATV","Latvia",5.95,2.927,0.241
"Baseline",2030,"LITH","Lithuania",5.67,1.989,0.494
"Baseline",2030,"LUXE","Luxembourg",5.55,0.983,0.072
"Baseline",2030,"MACE","TFYR Macedonia",12.89,8.617,1.017
"Baseline",2030,"MALA","Malaysia",26.75,25.493,7.832
"Baseline",2030,"MALT","Malta",7.6,1.195,0
"Baseline",2030,"MEXI","Mexico",9.43,9.174,0.049
"Baseline",2030,"MIDE","Middle East",11.07,9.008,4.537
"Baseline",2030,"MOLD","Republic of Moldova",10.27,4.747,0.328
"Baseline",2030,"MONG","Mongolia",14.81,14.528,0.14
"Baseline",2030,"MONT","Montenegro",13.14,9.177,0.164
"Baseline",2030,"MYAN","Myanmar",8.31,5.852,0.309
"Baseline",2030,"NAFR","Northern Africa (excl Egypt)",12.75,12.164,0.508
"Baseline",2030,"NEPA","Nepal",37.72,24.048,1.906
"Baseline",2030,"NETH","Netherlands",7.26,2.523,1.9
"Baseline",2030,"NIGE","Nigeria",17.61,17.227,1.037
